id,"partid","size","time"
502,"pr5n0cgvnu","18","16695"
503,"p0bkro3lta","36","9566"
504,"psqlvdg43l","18","6844"
505,"pgh17p2qbn","26","17057"
506,"p8rq4iafm7","34","8213"
507,"p9c4nokfri","28","10211"
508,"p13t0atj0c","24","14676"
509,"p7hs4jd3i8","29","21010"
510,"pj4ur7382c","29","18108"
511,"p2pna17uj1","25","12881"
512,"prp5hhhb70","25","23067"
513,"p63o0a4a79","25","12289"
514,"pdv2ibjejn","33","12659"
515,"po4rn86je3","30","20106"
516,"pab97ocin1","23","15561"
517,"pu8i3f92b0","34","19848"
518,"pallfgtgrl","39","18681"
519,"pk6tcg73ep","27","9922"
520,"pkv7chqkit","20","12840"
521,"p92g03gccd","63","18908"
522,"pf7j6ei79b","35","13207"
523,"p9v7ccrnne","29","8536"
524,"pcjof6k5g5","34","17757"
525,"ptjt5smlpu","63","47501"
526,"ptjt5smlpu","63","47501"
527,"p1o8rc2e6j","27","33397"
528,"pn65gj7s4h","20","7917"
529,"pfkuecu7ql","23","9760"
530,"p4mrjba97d","29","9099"
531,"pi6bvjdmnm","25","5954"
532,"ps4dtj5igo","24","7388"
533,"pqbo2uv9go","15","14948"
534,"pml2e33s8e","27","33985"
535,"pikhsb36p9","37","69679"
536,"ps28avdqr0","18","24324"
537,"pmmr6gnigr","39","21153"
538,"pah5p7uird","28","8528"
539,"pf9j7gd7d1","25","12556"
540,"plvkvp469u","26","6427"
541,"po4vv4dk36","34","11313"
542,"p4e9nuf6va","37","23948"
543,"pib2ugi7io","23","8132"
544,"pap7q8aa3i","25","6769"
545,"p95n5lgnk1","19","5517"
546,"p95n5lgnk1","19","5517"
547,"pm3cnmlu26","29","57597"
548,"ptjtofbv0r","26","6859"
549,"pkjq3adc7k","18","6974"
550,"ph2k6dcf0a","56","17631"
551,"p56qrq9h0j","34","49272"
552,"p4kk2m66ih","20","7416"
553,"p0ajipq59e","15","6892"
554,"plns93vs7o","24","13215"
555,"p6lagjme82","25","5944"
556,"p25blorhcf","50","183907"
557,"pl4n1g2k72","30","14927"
558,"p81rlmhdnb","26","22988"
559,"pk75htrdrl","15","12086"
560,"p34008bb8d","43","11231"
561,"p7kbkggfni","25","14566"
562,"pvk7tne5iu","25","18284"
563,"pa8nsrju5u","26","8585"
564,"p5pjd8l6r4","23","10803"
565,"pk2lrl22fm","43","17391"
566,"p0hq4vm27b","30","33025"
567,"pejiec4i3e","28","10800"
568,"pfvmn6joo2","55","27949"
569,"p5h8fcb5gi","17","17424"
570,"pl2htuius1","26","12298"
571,"pl2htuius1","26","12298"
572,"p11scti9ql","35","16211"
573,"pc2fdna9sj","29","15982"
574,"p7ki3vimvk","38","27604"
575,"p1v037flms","27","15060"
576,"p566pql2fb","43","83625"
577,"p2op1li7ge","45","10655"
578,"pv3l5i63ct","30","7442"
579,"ptsjf14rim","25","14908"
580,"pprkdp413c","23","9610"
581,"pn99nko5dn","30","56380"
582,"pj1760fu4c","30","17936"
583,"pmbb4ihaqq","28","17242"
584,"pa5olp1dbo","19","46800"
585,"pbco11eit4","34","18594"
586,"pdhbc9l5tn","28","27803"
587,"psrdl8aori","32","16140"
588,"ps18945kqv","22","9573"
589,"p3q3fkq30m","29","15925"
590,"pj4r8cvdtp","30","45500"
591,"phrtkamo3f","30","37719"
592,"p0mcj2vt8d","19","8417"
593,"p8ik2tbej0","32","17005"
594,"pc4pdiahcr","28","12013"
595,"plscdhacpo","25","18456"
596,"pou3s25ca6","21","24881"
597,"pqcolm7nku","25","9704"
598,"p3o147k232","27","11136"
599,"pd23q0fgte","19","11286"
600,"pu16lfsq3f","44","29568"
601,"pmbenial7q","26","8356"
602,"paclhntdh1","26","24849"
603,"p3vt1b3vca","30","26965"
604,"p7570t2ff2","29","20689"
605,"p04ui3j1q7","36","9329"
606,"paq2kafu1n","54","19510"
607,"p7gmau1mcf","19","6107"
608,"pqun4lc6ns","64","15474"
609,"puhvlqibhd","64","26804"
610,"plsjqbpirl","16","9624"
611,"p432838i76","25","13318"
612,"pqbmp1svmo","24","8883"
613,"pg6j97a0sq","36","10407"
614,"pqtlp31nrj","37","9732"
615,"psdf2gfqu8","31","10530"
616,"p98fpfcnb4","27","19503"
617,"pi1sdprr1i","30","21221"
618,"pqalrlsbvk","25","10422"
619,"p5p6mjstr7","30","11289"
620,"pop9g8irlg","45","35388"
621,"pt9l8b5q5k","34","10173"
622,"p700des83a","30","9797"
623,"pbojb1queb","26","13925"
624,"phah58s55i","32","31514"
625,"pkabshp1ui","64","37496"
626,"pmlq0r2ik4","37","38537"
627,"pu83bckhgb","23","9918"
628,"prkebjesm6","19","9913"
629,"pqpc74uav4","20","14715"
630,"p5cnnpklm4","19","19137"
631,"pnqtg97b9m","24","7899"
632,"p15804ujqf","32","27206"
633,"pvnfka380e","40","16860"
634,"p6pl41t848","20","7910"
635,"pphqf8mdu1","33","21314"
636,"pv8t0tgtp6","17","11896"
637,"pb0ma36n3b","30","16659"
638,"pj20htic1l","64","48665"
639,"pdj0bf7emh","26","9768"
640,"pjhj0668a3","39","10402"
641,"p1rb89gffh","25","26930"
642,"pvnaem4369","20","10585"
643,"p8a9mskqna","12","4804"
644,"ppnqdk6dl2","13","5073"
645,"p626941p7g","28","14255"
646,"pijp53cd5t","32","11157"
647,"pbeiqan84l","50","25683"
648,"pqdlmj9p6q","27","15343"
649,"pslauj167o","20","9584"
650,"p9149gqh2m","19","8724"
651,"p4enb4d7f3","19","16194"
652,"pjf0u4cjc1","26","7892"
653,"pj0v6fjsgs","33","36301"
654,"p4sjeoeibp","56","23247"
655,"phdvocqtdh","26","35671"
656,"pl8g479c6u","28","9745"
657,"p9lpn5p0ki","34","26332"
658,"pm7t55ktr5","36","17263"
659,"pcv3124ion","26","12449"
660,"p40cfmlag1","30","5783"
661,"po3mfhkndv","46","13324"
662,"ppnpjt6crj","20","10549"
663,"p87cpp7u2c","30","9955"
664,"pmp32ppshu","46","13554"
665,"pm4fegvie9","25","35185"
666,"ph6r2htltu","61","20997"
667,"pf81lmfh56","32","12611"
668,"pio6r28ti6","30","8889"
669,"pta6ef8taf","63","89163"
670,"pn9ca295d0","24","6813"
671,"pfakkf3lof","24","15493"
672,"p8ukfi8ilj","20","6911"
