id,"partid",age,"sex","job","education"
326,"p4jtgatknu",35,"male","working","professional"
327,"pis13ir8r7",51,"male","working","bachelor"
328,"pm47ha3rkk",45,"female","working","bachelor"
329,"pgl419hdma",30,"female","working","master"
330,"p4mrjba97d",24,"male","student","high_school"
331,"p412gih8pd",42,"male","working","high_school"
332,"p6qhrsqnnr",31,"male","working","high_school"
333,"p8g9p7ipbc",42,"male","working","primary"
334,"p7hs4jd3i8",46,"female","working","master"
335,"pdi0jkfpes",36,"female","unemployed","bachelor"
336,"p700des83a",33,"female","working","bachelor"
337,"pprkdp413c",32,"female","working","high_school"
338,"ptjtofbv0r",29,"male","working","professional"
339,"pevs72fcse",47,"female","working","master"
340,"pakhiuk0o7",55,"female","working","professional"
341,"prsil5372c",42,"female","working","professional"
342,"pfj3uadeok",20,"male","working","high_school"
343,"pfvmn6joo2",56,"female","working","master"
344,"p3qk9cd30b",36,"female","working","bachelor"
345,"pcjof6k5g5",65,"female","working","high_school"
346,"p9lpn5p0ki",53,"female","working","professional"
347,"pqcv863gue",30,"male","working","bachelor"
348,"p2hthf58qu",36,"male","working","bachelor"
349,"pvjvm8b9ov",28,"female","working","high_school"
350,"pjodhduinh",34,"male","unemployed","high_school"
351,"pm0mgcurkl",25,"male","working","bachelor"
352,"ps3qmc4q9s",29,"female","student","bachelor"
353,"pv3l5i63ct",38,"female","working","bachelor"
354,"p00e6a0jas",43,"male","working","bachelor"
355,"pn9ca295d0",35,"female","student","high_school"
356,"pc2fdna9sj",34,"female","working","bachelor"
357,"pejiec4i3e",45,"male","working","bachelor"
358,"phbiuhbodu",37,"male","working","master"
359,"p432838i76",35,"female","working","bachelor"
360,"po3mfhkndv",32,"female","unemployed","high_school"
361,"pop9g8irlg",38,"female","working","high_school"
362,"pdmvag9og5",43,"female","working","high_school"
363,"phah58s55i",50,"female","working","high_school"
364,"psnjhe53vq",47,"female","working","bachelor"
365,"pi6bvjdmnm",33,"female","working","bachelor"
366,"p7kbkggfni",28,"female","working","professional"
367,"p0167s1t23",27,"female","working","master"
368,"pun0tpvo4u",48,"male","working","bachelor"
369,"pcgp3iji2a",51,"male","working","high_school"
370,"pdhbc9l5tn",24,"female","working","doctor"
371,"p7hqn47088",22,"female","working","bachelor"
372,"psrdl8aori",40,"male","working","high_school"
373,"pen5368pto",36,"male","working","doctor"
374,"puemkoirj1",38,"male","working","bachelor"
375,"pk40pbvres",38,"male","working","professional"
376,"pdc1fbbvv7",27,"male","working","professional"
377,"pdoihistpk",24,"female","working","high_school"
378,"pns5doe91o",31,"male","working","bachelor"
379,"p5sslebg7r",43,"female","working","bachelor"
380,"p70pk1aqkp",38,"female","working","bachelor"
381,"pl2htuius1",51,"female","working","master"
382,"pf7j6ei79b",27,"male","working","bachelor"
383,"p1lja2o35c",35,"male","working","master"
384,"pu9louv4mb",53,"female","working","bachelor"
385,"pgl9cemrgp",27,"male","unemployed","bachelor"
386,"pu83bckhgb",23,"male","working","bachelor"
387,"prkebjesm6",28,"male","unemployed","master"
388,"p7lvs1n9k2",55,"female","working","bachelor"
389,"p0bkro3lta",36,"male","working","bachelor"
390,"p7k625ak4f",46,"male","working","professional"
391,"pti56j6djb",56,"male","working","high_school"
392,"p75hr494ah",62,"male","working","high_school"
393,"pbojb1queb",22,"female","working","bachelor"
394,"p7h7jajuqo",47,"female","working","bachelor"
395,"ppk3iqmh0t",31,"male","working","bachelor"
396,"pngq79f9oh",36,"male","working","high_school"
397,"poerddee8j",42,"male","working","high_school"
398,"pc7o4njlga",57,"female","working","bachelor"
399,"p5p6mjstr7",30,"female","working","bachelor"
400,"p5mhsoucdd",35,"male","working","high_school"
401,"p4re9frtkk",56,"female","working","bachelor"
402,"pj5pg3vpho",30,"female","working","master"
403,"pmmr6gnigr",38,"male","working","high_school"
404,"pi5rgi8v72",52,"male","working","high_school"
405,"pbg0ain4kb",41,"female","working","high_school"
406,"p2v87b1ptc",25,"male","unemployed","bachelor"
407,"p96598u38r",39,"male","student","bachelor"
408,"p8a9mskqna",34,"female","student","doctor"
409,"phg9946oc4",41,"male","working","bachelor"
410,"pkjq3adc7k",22,"male","unemployed","high_school"
411,"papv3eqoe6",31,"female","working","professional"
412,"pabg9cmvjg",45,"female","working","master"
413,"pe8ll3r0q7",42,"male","working","master"
414,"p09og45pgs",70,"male","retired","professional"
415,"pm52ltv36t",65,"female","working","bachelor"
416,"p7a57kt96s",56,"female","working","high_school"
417,"p25blorhcf",56,"male","working","bachelor"
418,"prp5hhhb70",36,"male","working","bachelor"
419,"p2521vbthn",68,"female","retired","professional"
420,"pkabshp1ui",34,"female","working","bachelor"
421,"pfakkf3lof",47,"female","working","bachelor"
422,"pn99nko5dn",47,"male","retired","high_school"
423,"pmbb4ihaqq",37,"male","working","bachelor"
424,"pm6pg4bqjt",35,"male","working","bachelor"
425,"p96uclig9k",34,"male","working","bachelor"
426,"pcdsba4mkp",56,"female","unemployed","high_school"
427,"p13t0atj0c",58,"female","working","high_school"
428,"pf81lmfh56",34,"male","working","high_school"
429,"pn5nbd5n3p",29,"male","student","high_school"
430,"po25419ipe",28,"male","working","professional"
431,"pgkedk5gje",23,"male","working","bachelor"
432,"pmj62qhc18",29,"male","student","high_school"
433,"pdt3k4grkg",43,"female","working","high_school"
434,"plsjqbpirl",31,"female","working","master"
435,"pm7t55ktr5",45,"male","working","bachelor"
436,"plce134lpv",28,"female","working","high_school"
437,"prkdak12ij",50,"female","working","bachelor"
438,"ppnpjt6crj",24,"male","working","high_school"
439,"pm4fegvie9",44,"female","working","professional"
440,"p0h1r83hh7",36,"male","working","bachelor"
441,"p875fo3qvg",37,"male","working","master"
442,"pl0htdvbrc",42,"male","retired","high_school"
443,"pfkuecu7ql",51,"male","working","high_school"
444,"pt6iq5kg01",35,"female","working","primary"
445,"ph6r2htltu",30,"female","working","bachelor"
446,"paoguq6fcd",21,"female","student","professional"
447,"p83b1rghn9",51,"female","working","high_school"
448,"p6u7vknqnq",50,"female","working","bachelor"
449,"pb2hmge234",24,"male","unemployed","high_school"
450,"ps18945kqv",38,"male","working","bachelor"
451,"paq2kafu1n",32,"female","working","bachelor"
452,"pa02d22d6a",37,"female","working","bachelor"
453,"pp19ncf91k",35,"male","working","high_school"
454,"p0evvn3ut5",43,"male","working","bachelor"
455,"pphqf8mdu1",29,"male","working","master"
456,"p1o8rc2e6j",61,"female","retired","high_school"
457,"pajnqhf8lq",29,"male","working","bachelor"
458,"p2op1li7ge",27,"male","working","professional"
459,"p7gahpqpkj",63,"male","retired","bachelor"
460,"pv20l5fgol",37,"male","working","bachelor"
461,"p34hld7b8v",40,"male","working","master"
462,"pallfgtgrl",45,"male","working","high_school"
463,"pa5olp1dbo",63,"female","retired","high_school"
464,"p5pjd8l6r4",32,"male","working","master"
465,"p714q4qa4f",31,"female","working","bachelor"
466,"pqvl89h2vv",45,"female","working","professional"
467,"pua0ii9p4k",27,"female","working","high_school"
468,"popmnak5pq",31,"male","working","bachelor"
469,"pb9t1l9k53",65,"female","working","bachelor"
470,"pt5t90knuc",33,"female","working","master"
471,"p2cb55adde",37,"male","working","master"
472,"p1vd7vcot2",38,"male","working","high_school"
473,"po52c1fr6p",31,"male","working","high_school"
474,"pf9j7gd7d1",33,"male","working","bachelor"
475,"po4vv4dk36",39,"male","working","professional"
476,"pup2pl8rt5",24,"female","unemployed","high_school"
477,"p11scti9ql",43,"male","working","bachelor"
478,"pgroai2fuh",43,"female","working","professional"
479,"pl8g479c6u",34,"male","working","high_school"
480,"ps7re1uim8",59,"male","unemployed","high_school"
481,"pj1760fu4c",37,"female","working","professional"
482,"phfrauvddt",38,"female","working","bachelor"
483,"pd227runam",26,"male","working","high_school"
484,"plfbna9159",22,"female","working","bachelor"
485,"pmc6s0fmvf",33,"male","working","high_school"
486,"ph2k6dcf0a",36,"male","working","bachelor"
487,"p56qrq9h0j",36,"female","working","high_school"
488,"p5agqgh208",56,"male","working","bachelor"
489,"pea4oha9vm",33,"male","working","professional"
490,"puj3fibisa",36,"female","working","primary"
491,"puc55nil0u",38,"male","working","high_school"
492,"pi1eakaefq",28,"male","student","high_school"
493,"p689f4befn",33,"male","working","bachelor"
494,"pb2m3v12ec",29,"male","working","high_school"
495,"pvk7tne5iu",63,"male","working","bachelor"
496,"p9nl86fgsf",35,"male","working","high_school"
497,"pk4b2i1d4t",29,"male","working","bachelor"
498,"p3ji333l5q",35,"female","unemployed","high_school"
499,"pou3s25ca6",28,"female","unemployed","bachelor"
500,"p4e9nuf6va",23,"female","working","professional"
501,"p2j5mjv298",33,"male","working","professional"
502,"ptulfbgfih",22,"male","working","high_school"
503,"prag6uvmp5",25,"female","working","bachelor"
504,"pbi22mdfms",40,"male","working","high_school"
505,"puhvlqibhd",55,"female","working","bachelor"
506,"pm4u2t7mmf",64,"male","working","professional"
507,"p5cnnpklm4",34,"female","working","bachelor"
508,"pqv6q6idrs",57,"female","unemployed","bachelor"
509,"pp96pg3pmu",22,"male","unemployed","bachelor"
510,"pf4fm5lpr7",28,"male","unemployed","high_school"
511,"pgh17p2qbn",26,"male","working","high_school"
512,"prmos8a6ig",37,"male","working","doctor"
513,"p4easpq9p8",24,"female","student","bachelor"
514,"pn55e7hglu",44,"male","working","bachelor"
515,"p34008bb8d",44,"female","working","high_school"
516,"p566pql2fb",42,"female","working","professional"
517,"p1rb89gffh",60,"male","working","bachelor"
518,"p5j32qlb1g",20,"female","student","high_school"
519,"pvvegj7hli",33,"male","unemployed","high_school"
520,"phgodepple",27,"male","working","professional"
521,"poh4cp40g9",29,"male","working","bachelor"
522,"p9149gqh2m",38,"female","student","high_school"
523,"pu16lfsq3f",33,"female","working","high_school"
524,"pk75htrdrl",30,"male","working","bachelor"
525,"pab97ocin1",31,"male","working","high_school"
526,"ptl1v1bmbh",35,"female","unemployed","master"
527,"pkg802didd",32,"male","working","bachelor"
528,"p98fpfcnb4",38,"female","working","master"
529,"pvnfka380e",44,"male","working","bachelor"
530,"p9c4nokfri",24,"male","working","high_school"
531,"pg0pmfo7f0",35,"female","working","bachelor"
532,"pmbenial7q",30,"male","working","bachelor"
533,"ppa9asj9iu",33,"female","working","bachelor"
534,"pkdnatrak8",61,"female","retired","bachelor"
535,"p5c535lsec",38,"male","working","bachelor"
536,"pg88fd4nsh",49,"male","working","bachelor"
537,"pui9r354ph",33,"female","working","bachelor"
538,"panhou88o9",30,"female","working","master"
539,"pr43a75b9b",25,"male","working","bachelor"
540,"poks9k8fl1",27,"male","working","master"
541,"pbeiqan84l",31,"male","working","professional"
542,"phrtkamo3f",50,"male","working","high_school"
543,"p7ki3vimvk",48,"male","working","bachelor"
544,"p7570t2ff2",49,"female","working","bachelor"
545,"pvnaem4369",49,"male","unemployed","high_school"
546,"pbco11eit4",24,"female","student","professional"
547,"p5ef9u14sb",26,"female","working","high_school"
548,"pgd7ppeh4f",34,"male","working","high_school"
549,"pb4vsrf424",65,"female","working","high_school"
550,"prpo807r2r",29,"male","working","master"
551,"pml2e33s8e",34,"female","unemployed","high_school"
552,"p25knhvsj4",34,"male","working","high_school"
553,"psenf964i3",54,"male","working","high_school"
554,"p2st1k79gc",42,"male","working","master"
555,"p8l6rhu6hp",35,"female","working","bachelor"
556,"pg66pva8mu",25,"female","unemployed","bachelor"
557,"pijp53cd5t",43,"male","working","professional"
558,"pvbo1o40eo",22,"female","working","bachelor"
559,"pfp6t4vkh6",35,"female","working","bachelor"
560,"pu8i3f92b0",44,"male","working","professional"
561,"p4056gspd8",25,"female","working","bachelor"
562,"p0arubo2hf",33,"female","working","bachelor"
563,"pj20htic1l",32,"female","working","bachelor"
564,"pri0hvupjg",33,"male","working","bachelor"
565,"phd4bmr0i8",31,"male","working","bachelor"
566,"pikbh8p11n",41,"female","working","high_school"
